aX,aY,aZ,gX,gY,gZ
0.473,0.400,-0.830,-11.475,-39.001,2.197
0.457,0.413,-0.804,-11.658,-38.879,2.808
0.432,0.430,-0.774,-11.414,-41.199,4.395
0.417,0.434,-0.749,-10.254,-43.823,6.104
0.412,0.453,-0.723,-9.155,-45.349,8.301
0.413,0.494,-0.695,-10.986,-45.288,9.216
0.426,0.510,-0.689,-15.015,-44.189,6.287
0.447,0.491,-0.703,-19.104,-41.565,0.488
0.485,0.455,-0.733,-22.278,-37.842,-3.967
0.477,0.424,-0.762,-24.597,-35.278,-7.080
0.499,0.404,-0.779,-25.879,-31.555,-7.690
0.527,0.379,-0.804,-25.146,-28.931,-7.019
0.526,0.354,-0.823,-23.010,-26.184,-5.737
0.532,0.329,-0.823,-20.020,-23.376,-4.028
0.521,0.325,-0.814,-16.785,-21.301,-2.258
0.501,0.341,-0.788,-14.160,-19.714,-0.977
0.472,0.362,-0.753,-13.000,-20.142,-0.305
0.442,0.379,-0.727,-14.221,-22.278,-0.793
0.448,0.387,-0.716,-16.235,-24.780,-2.014
0.457,0.380,-0.725,-17.029,-28.320,-2.869
0.457,0.378,-0.728,-17.639,-31.677,-3.845
0.479,0.387,-0.737,-18.127,-32.532,-4.089
0.515,0.386,-0.746,-17.883,-31.006,-4.089
0.529,0.380,-0.759,-16.846,-29.175,-4.456
0.533,0.370,-0.767,-15.930,-26.611,-4.578
0.537,0.359,-0.763,-15.198,-23.499,-4.028
0.525,0.353,-0.756,-13.855,-21.790,-2.991
0.502,0.344,-0.741,-12.573,-21.912,-1.465
0.474,0.345,-0.706,-12.573,-23.621,0.610
0.473,0.360,-0.663,-14.221,-26.794,0.854
0.492,0.383,-0.654,-16.663,-31.311,-1.282
0.515,0.380,-0.667,-18.860,-36.255,-3.540
0.557,0.364,-0.695,-20.264,-38.818,-5.249
0.602,0.336,-0.738,-20.630,-38.757,-6.836
0.637,0.307,-0.777,-19.714,-37.170,-7.690
0.661,0.290,-0.799,-18.066,-34.058,-7.446
1.944,-0.300,-0.982,20.752,33.752,-20.081
2.101,-0.350,-1.089,28.137,38.757,-19.653
2.192,-0.420,-1.171,36.926,46.021,-14.526
2.226,-0.520,-1.198,45.532,57.129,-3.540
2.228,-0.620,-1.195,53.467,69.336,11.108
2.128,-0.664,-1.174,64.392,79.468,27.893
1.943,-0.681,-1.111,78.491,87.036,46.021
1.722,-0.644,-0.985,93.323,95.276,64.087
1.409,-0.505,-0.833,104.248,104.492,79.407
1.085,-0.393,-0.667,108.643,116.089,86.914
0.848,-0.317,-0.526,109.619,131.592,84.229
0.679,-0.253,-0.404,110.901,147.522,75.012
0.516,-0.194,-0.365,112.976,158.875,64.758
0.345,-0.111,-0.354,118.347,164.978,53.345
0.175,0.062,-0.300,125.610,167.236,41.321
0.003,0.311,-0.208,132.263,167.664,31.677
-0.157,0.547,-0.098,137.695,169.006,24.475
-0.332,0.779,0.033,139.709,173.218,20.630
-0.550,0.957,0.142,133.911,178.955,20.935
-0.923,1.079,0.258,119.690,181.946,23.010
-1.320,1.193,0.401,96.436,177.185,21.851
-1.615,1.274,0.496,63.538,163.086,15.137
-1.754,1.340,0.552,34.607,140.808,3.784
-1.706,1.379,0.527,23.315,113.770,-9.888
-1.498,1.341,0.443,19.958,83.618,-26.855
-1.129,1.211,0.282,17.639,54.626,-44.861
-0.680,1.021,0.088,8.057,29.541,-59.021
-0.434,0.852,-0.117,-7.141,12.756,-69.092
-0.008,0.636,-0.358,-17.883,8.789,-66.711
0.425,0.434,-0.533,-27.100,1.831,-58.167
0.697,0.301,-0.709,-31.738,-15.991,-48.279
0.842,0.249,-0.846,-29.480,-40.222,-38.147
0.916,0.257,-0.965,-21.301,-59.814,-28.503
0.962,0.276,-1.066,-12.085,-68.054,-17.578
0.973,0.309,-1.120,-9.583,-66.284,-7.996
0.961,0.349,-1.131,-11.902,-57.556,-2.258
0.925,0.370,-1.107,-13.367,-46.265,0.122
0.828,0.396,-1.065,-12.024,-34.241,-0.061
0.812,0.462,-1.047,-8.789,-19.958,-1.221
0.791,0.460,-1.005,-5.066,-12.817,-1.709
0.660,0.495,-0.963,-2.380,-13.672,-4.761
0.554,0.550,-0.929,-2.625,-6.592,-4.150
0.557,0.550,-0.891,-2.075,3.113,-2.136
0.559,0.505,-0.860,1.343,9.399,3.601
0.512,0.479,-0.842,3.113,8.789,9.399
0.483,0.487,-0.823,3.113,7.263,10.864
0.482,0.508,-0.809,4.028,7.568,10.559
0.478,0.512,-0.796,5.493,9.033,11.230
0.462,0.501,-0.782,6.165,10.925,11.475
0.429,0.496,-0.770,5.005,12.390,9.216
0.387,0.486,-0.752,3.357,12.695,5.432
0.372,0.487,-0.724,1.648,11.841,1.526
0.361,0.499,-0.706,-0.305,7.996,-0.671
0.362,0.510,-0.701,-2.197,3.174,-0.977
0.388,0.511,-0.705,-3.174,-0.549,-0.122
0.398,0.501,-0.718,-3.479,-3.784,1.282
0.405,0.483,-0.732,-3.357,-6.409,2.869
0.415,0.475,-0.745,-2.197,-8.240,5.188
0.414,0.470,-0.743,-0.610,-9.644,8.179
0.393,0.476,-0.743,0.366,-10.925,11.597
0.377,0.488,-0.740,0.122,-10.742,13.611
0.369,0.496,-0.728,0.000,-9.521,14.099
0.358,0.503,-0.724,-0.916,-8.179,13.306
0.334,0.517,-0.725,-2.808,-7.019,10.925
0.329,0.510,-0.728,-5.859,-5.798,6.470
0.337,0.495,-0.736,-7.629,-5.371,1.831
0.349,0.481,-0.750,-8.423,-6.104,-1.099
0.354,0.479,-0.762,-8.728,-7.629,-1.831
0.361,0.483,-0.760,-8.240,-9.644,-1.160
0.367,0.488,-0.769,-6.653,-11.292,0.244
0.367,0.476,-0.771,-6.653,-11.475,2.258
0.367,0.470,-0.771,-7.263,-11.169,3.723
0.364,0.477,-0.768,-7.141,-10.803,4.700
0.356,0.490,-0.750,-7.202,-10.864,4.517
0.347,0.502,-0.734,-7.935,-11.780,3.601
0.340,0.506,-0.729,-9.155,-12.268,1.770
0.334,0.494,-0.728,-10.315,-12.512,0.244
0.335,0.472,-0.730,-10.925,-13.916,0.305
0.331,0.460,-0.728,-11.414,-16.602,1.526
0.339,0.449,-0.731,-11.536,-19.470,2.502
0.366,0.444,-0.739,-11.047,-21.179,2.258
0.389,0.460,-0.743,-10.681,-20.813,1.953
0.405,0.466,-0.744,-10.681,-19.104,1.221
0.414,0.473,-0.742,-11.475,-16.724,0.000
0.411,0.469,-0.746,-12.512,-14.099,-1.953
0.403,0.450,-0.748,-13.184,-11.963,-3.418
0.387,0.434,-0.741,-13.733,-11.047,-4.883
0.367,0.426,-0.738,-13.672,-11.719,-5.798
0.356,0.428,-0.720,-12.939,-13.611,-5.188
0.360,0.443,-0.700,-13.794,-16.296,-4.150
0.382,0.451,-0.699,-15.442,-19.104,-3.723
0.413,0.445,-0.699,-17.090,-21.851,-3.723
0.452,0.438,-0.720,-18.433,-22.827,-3.296
0.498,0.421,-0.755,-18.677,-21.912,-2.563
0.528,0.401,-0.784,-18.250,-20.630,-0.793
0.523,0.399,-0.799,-17.212,-19.226,2.563
0.492,0.397,-0.789,-16.235,-17.883,6.104
0.451,0.397,-0.769,-16.052,-16.296,7.751
0.420,0.397,-0.761,-14.832,-13.550,7.019
0.382,0.396,-0.730,-12.939,-10.498,4.639
0.350,0.403,-0.706,-12.634,-8.240,1.221
0.349,0.389,-0.699,-13.916,-7.324,-3.052
0.371,0.375,-0.707,-16.174,-8.362,-6.653
0.409,0.363,-0.723,-17.212,-11.658,-7.935
0.455,0.334,-0.743,-16.113,-16.418,-5.493
0.502,0.305,-0.772,-12.878,-20.020,-0.549
0.550,0.333,-0.810,-7.935,-20.996,7.141
0.589,0.342,-0.836,-2.258,-21.423,14.648
0.595,0.320,-0.821,3.296,-23.193,19.531
0.535,0.322,-0.789,7.812,-24.963,21.729
0.471,0.330,-0.762,11.719,-24.841,18.860
0.422,0.326,-0.751,15.869,-24.231,11.780
0.399,0.327,-0.721,18.677,-24.963,5.127
0.411,0.365,-0.693,18.616,-26.245,2.869
0.456,0.406,-0.683,15.686,-27.527,4.639
0.536,0.445,-0.680,11.475,-26.550,8.240
0.592,0.461,-0.711,7.446,-23.926,12.573
0.634,0.454,-0.750,3.540,-18.799,11.169
0.667,0.435,-0.784,1.160,-13.123,5.554
1.695,-0.208,-1.068,6.775,27.771,-17.639
1.897,-0.227,-1.166,9.521,27.161,-14.404
2.060,-0.246,-1.279,14.709,26.611,-8.179
2.095,-0.297,-1.391,22.278,26.062,0.488
2.006,-0.397,-1.412,30.701,31.433,13.916
1.897,-0.481,-1.353,34.851,43.152,28.870
1.773,-0.513,-1.277,38.086,57.190,42.358
1.627,-0.541,-1.120,46.143,68.481,54.443
1.466,-0.586,-0.972,53.772,75.745,63.171
1.348,-0.624,-0.900,60.730,83.313,67.261
1.203,-0.663,-0.843,68.909,88.806,70.923
1.034,-0.690,-0.848,81.116,95.520,75.500
0.835,-0.660,-0.815,98.267,107.056,78.003
0.594,-0.548,-0.716,113.159,120.178,79.590
0.328,-0.411,-0.582,123.413,133.057,78.918
0.071,-0.294,-0.428,131.897,143.555,72.388
-0.121,-0.095,-0.265,139.404,150.696,57.922
-0.180,0.229,-0.116,145.569,155.151,39.001
-0.211,0.611,0.033,151.245,157.959,22.339
-0.259,0.939,0.191,152.039,161.743,10.193
-0.325,1.190,0.300,141.602,167.114,1.831
-0.422,1.351,0.354,123.718,170.959,-4.089
-0.587,1.416,0.425,102.661,168.030,-7.446
-0.750,1.405,0.486,81.970,156.555,-4.211
-0.782,1.336,0.468,69.092,138.611,7.263
-0.782,1.209,0.394,63.049,115.784,24.048
-0.794,1.108,0.316,59.143,88.623,39.063
-0.841,1.073,0.259,52.124,61.646,46.021
-0.859,1.078,0.185,41.870,40.466,36.865
-0.771,1.052,0.087,28.137,31.128,11.658
-0.547,0.964,-0.092,19.287,26.794,-15.381
-0.234,0.796,-0.312,20.752,23.193,-35.217
0.108,0.605,-0.512,24.292,18.433,-42.969
0.371,0.481,-0.683,25.879,14.648,-38.513
0.495,0.422,-0.810,26.733,8.179,-26.978
0.511,0.423,-0.870,26.001,-1.709,-14.587
0.485,0.467,-0.877,22.339,-13.062,-7.263
0.469,0.523,-0.871,15.320,-21.118,-6.897
0.465,0.561,-0.872,6.531,-21.851,-11.353
0.499,0.556,-0.903,-0.671,-17.212,-19.165
0.555,0.531,-0.950,-3.662,-11.292,-24.353
0.593,0.520,-0.995,-3.235,-6.592,-25.696
0.591,0.520,-1.003,-0.427,-2.808,-22.095
0.560,0.536,-0.976,2.808,0.061,-13.550
0.506,0.575,-0.909,5.371,1.892,-3.174
0.434,0.631,-0.820,6.531,1.160,6.653
0.388,0.687,-0.744,6.714,-0.122,12.146
0.358,0.729,-0.710,6.714,-0.977,13.672
0.335,0.734,-0.690,6.104,-1.221,11.902
0.318,0.716,-0.683,4.028,-1.648,9.521
0.293,0.689,-0.680,0.854,-3.052,7.568
0.269,0.672,-0.667,-1.648,-5.493,5.737
0.253,0.678,-0.648,-2.869,-8.606,3.723
0.245,0.689,-0.631,-2.869,-10.925,2.808
0.251,0.686,-0.623,-3.418,-11.597,2.197
0.269,0.660,-0.624,-4.089,-11.230,1.587
0.287,0.634,-0.645,-4.517,-9.705,1.343
0.294,0.611,-0.655,-4.211,-8.362,2.136
0.279,0.595,-0.658,-5.066,-8.972,2.808
0.263,0.583,-0.662,-7.446,-11.963,2.869
0.267,0.575,-0.676,-9.155,-14.771,2.136
0.280,0.561,-0.690,-8.484,-16.418,0.916
0.301,0.553,-0.709,-7.080,-16.968,-0.610
0.315,0.547,-0.727,-6.348,-16.907,-1.526
0.333,0.540,-0.739,-5.920,-15.869,-1.343
0.337,0.541,-0.742,-5.310,-14.587,-0.427
0.339,0.547,-0.735,-4.761,-13.000,0.000
0.339,0.563,-0.722,-4.578,-12.024,-0.061
0.340,0.581,-0.710,-5.859,-11.902,-0.427
0.350,0.591,-0.696,-8.423,-11.597,-1.526
0.346,0.594,-0.698,-11.658,-11.353,-2.563
0.335,0.578,-0.715,-15.198,-11.230,-3.662
0.333,0.552,-0.734,-17.029,-11.658,-4.456
0.343,0.541,-0.746,-16.968,-12.512,-4.395
0.347,0.545,-0.737,-16.235,-14.038,-3.174
0.341,0.570,-0.715,-16.602,-14.954,-1.099
0.334,0.589,-0.713,-17.456,-14.038,0.488
0.338,0.569,-0.720,-17.883,-11.902,0.427
0.330,0.540,-0.730,-18.127,-10.254,-0.366
0.322,0.510,-0.741,-17.334,-10.193,-2.136
0.327,0.492,-0.751,-15.259,-10.376,-2.808
0.331,0.497,-0.747,-13.672,-11.230,-1.709
0.321,0.511,-0.736,-14.832,-13.000,-0.061
0.322,0.518,-0.729,-16.663,-14.587,-0.244
0.337,0.512,-0.731,-17.090,-15.259,-1.465
0.349,0.506,-0.734,-15.808,-15.930,-2.441
0.365,0.510,-0.738,-14.709,-16.296,-2.991
0.383,0.508,-0.757,-13.855,-15.442,-2.991
0.396,0.480,-0.779,-13.000,-14.099,-3.235
0.403,0.456,-0.802,-12.268,-13.489,-3.235
0.388,0.440,-0.812,-10.986,-13.611,-3.479
0.374,0.435,-0.813,-9.399,-13.733,-4.150
0.379,0.443,-0.806,-7.874,-13.245,-5.066
0.392,0.460,-0.800,-6.714,-12.390,-5.615
0.403,0.464,-0.795,-6.958,-11.963,-6.592
0.416,0.460,-0.795,-8.423,-11.475,-8.423
0.432,0.470,-0.800,-9.766,-10.681,-9.338
0.450,0.476,-0.798,-10.803,-10.742,-9.583
0.447,0.482,-0.798,-11.658,-11.597,-8.911
0.437,0.489,-0.787,-12.085,-12.268,-8.057
0.437,0.504,-0.778,-12.207,-12.268,-7.385
0.440,0.510,-0.772,-11.414,-12.085,-6.226
0.432,0.511,-0.765,-10.437,-12.634,-4.395
0.415,0.516,-0.753,-9.705,-13.916,-2.930
0.406,0.524,-0.739,-9.583,-15.198,-2.441
0.413,0.530,-0.729,-9.827,-16.052,-2.747
0.437,0.535,-0.728,-10.681,-16.235,-3.479
0.463,0.542,-0.736,-12.329,-15.259,-4.150
0.470,0.537,-0.750,-15.137,-13.428,-5.005
0.464,0.507,-0.757,-17.883,-11.230,-6.714
0.460,0.489,-0.769,-18.311,-9.094,-7.629
0.445,0.475,-0.773,-17.578,-8.240,-7.019
0.431,0.471,-0.776,-16.418,-8.606,-5.127
0.418,0.461,-0.757,-14.954,-10.559,-3.052
0.405,0.475,-0.736,-13.245,-13.916,-0.427
0.391,0.497,-0.719,-11.780,-17.273,2.258
0.378,0.505,-0.698,-11.475,-19.653,2.991
0.381,0.513,-0.677,-13.611,-19.470,1.892
0.394,0.529,-0.680,-17.273,-17.334,-0.916
1.620,-0.640,-1.549,-47.302,31.738,-50.964
1.990,-0.812,-1.761,-35.095,31.860,-40.955
2.284,-0.970,-1.941,-11.780,25.330,-25.085
2.446,-1.114,-2.108,15.076,15.991,-8.118
2.425,-1.230,-2.213,39.063,11.536,10.254
2.227,-1.286,-2.233,57.983,19.165,31.860
1.906,-1.263,-2.066,75.378,41.992,51.025
1.539,-1.109,-1.735,93.018,77.698,65.369
1.149,-0.951,-1.337,110.229,114.441,72.327
0.803,-0.802,-1.005,123.962,145.081,71.838
0.513,-0.688,-0.765,137.146,161.438,67.017
0.285,-0.559,-0.579,155.151,160.706,60.669
0.115,-0.363,-0.393,174.988,148.804,55.725
-0.039,-0.174,-0.258,190.735,133.850,53.650
-0.161,-0.001,-0.141,199.097,123.047,48.279
-0.225,0.221,-0.006,199.524,114.868,36.011
-0.284,0.452,0.118,195.801,105.164,20.630
-0.330,0.623,0.276,195.557,97.229,7.324
-0.364,0.862,0.470,192.993,92.896,0.916
-0.435,1.159,0.668,180.359,92.285,4.883
-0.532,1.456,0.853,154.358,96.802,11.108
-0.669,1.732,0.927,118.774,104.919,12.756
-0.801,1.815,0.873,84.656,112.305,6.653
-0.891,1.708,0.812,60.547,112.976,-7.446
-0.915,1.596,0.719,46.631,105.835,-20.142
-0.883,1.471,0.590,37.048,89.966,-25.696
-0.826,1.318,0.431,25.635,62.805,-29.114
-0.688,1.141,0.236,12.817,30.457,-33.081
-0.479,0.941,-0.002,1.892,-3.357,-32.532
-0.219,0.710,-0.237,-7.385,-32.776,-26.489
0.069,0.505,-0.496,-15.198,-50.171,-17.944
0.341,0.337,-0.721,-18.494,-54.871,-12.817
0.527,0.216,-0.906,-16.052,-56.213,-14.832
0.603,0.159,-1.045,-9.216,-57.556,-19.165
0.594,0.160,-1.113,-3.296,-56.763,-20.630
0.585,0.201,-1.131,1.160,-52.856,-18.738
0.613,0.276,-1.141,2.197,-46.448,-15.137
0.642,0.368,-1.159,0.488,-39.612,-10.498
0.652,0.416,-1.152,1.160,-32.166,-4.883
0.631,0.447,-1.104,3.723,-24.109,0.610
