aX,aY,aZ,gX,gY,gZ
-0.545,-0.587,0.571,-16.479,9.399,-44.678
-0.562,-0.574,0.537,-18.005,8.118,-44.250
-0.561,-0.526,0.516,-18.921,7.446,-42.480
-0.547,-0.470,0.554,-17.761,8.118,-38.391
-0.581,-0.457,0.695,-14.221,9.521,-32.593
-0.606,-0.490,0.828,-11.047,10.437,-28.015
-0.577,-0.524,0.889,-9.338,7.019,-25.818
-0.599,-0.561,0.881,-8.972,-0.854,-24.353
-0.625,-0.619,0.782,-7.874,-9.338,-24.780
-0.613,-0.659,0.628,-4.333,-17.151,-26.794
-0.628,-0.678,0.524,2.563,-22.217,-27.710
-0.660,-0.694,0.500,10.498,-23.254,-28.748
-0.664,-0.678,0.508,15.625,-20.447,-31.555
-0.685,-0.633,0.537,16.846,-18.005,-33.752
-0.737,-0.574,0.568,14.954,-18.005,-34.119
-0.728,-0.574,0.612,9.827,-18.616,-32.410
-0.729,-0.583,0.603,0.488,-21.973,-30.396
-0.731,-0.561,0.545,-9.399,-24.292,-27.832
-0.735,-0.542,0.496,-14.709,-22.400,-24.536
-0.731,-0.542,0.473,-15.869,-20.264,-20.569
-0.728,-0.531,0.471,-15.625,-17.700,-17.029
-0.727,-0.506,0.507,-13.611,-14.587,-12.268
-0.726,-0.504,0.572,-10.071,-12.085,-7.019
-0.716,-0.538,0.639,-6.226,-12.085,-2.441
-0.711,-0.594,0.680,-4.700,-14.709,1.099
-0.693,-0.635,0.672,-5.249,-18.250,2.869
-0.670,-0.653,0.641,-4.822,-20.569,4.028
-0.646,-0.651,0.621,-2.869,-21.851,4.761
-0.635,-0.653,0.624,-0.122,-22.095,6.836
-0.620,-0.661,0.615,1.404,-25.818,8.545
-0.612,-0.661,0.589,0.488,-29.602,9.338
-0.607,-0.664,0.558,-0.916,-29.480,10.132
-0.596,-0.674,0.528,-1.404,-25.574,10.864
-0.591,-0.682,0.519,-1.038,-18.799,11.963
-0.591,-0.688,0.544,-0.610,-16.846,13.123
-0.589,-0.691,0.572,-0.977,-17.151,13.672
-0.577,-0.696,0.586,-2.563,-15.564,13.733
-0.553,-0.697,0.589,-4.272,-14.038,12.756
-0.537,-0.689,0.600,-4.639,-13.367,11.780
-0.535,-0.668,0.622,-4.639,-13.123,11.169
-0.534,-0.647,0.633,-5.127,-12.939,10.559
-0.518,-0.638,0.624,-5.371,-13.062,10.437
-0.493,-0.645,0.615,-4.761,-15.686,9.766
-0.488,-0.658,0.609,-3.418,-20.203,8.484
-0.484,-0.663,0.597,-2.502,-23.010,7.080
-0.484,-0.650,0.583,-1.831,-23.987,5.920
-0.489,-0.641,0.573,-0.671,-24.475,5.798
-0.487,-0.628,0.551,-0.305,-24.780,6.714
-0.490,-0.625,0.544,-0.671,-24.475,7.568
-0.496,-0.645,0.545,-1.465,-23.132,8.362
-0.489,-0.679,0.534,-2.686,-20.569,8.789
-0.480,-0.704,0.521,-3.906,-17.090,8.911
-0.475,-0.721,0.512,-4.700,-13.916,8.240
-0.476,-0.724,0.501,-5.249,-10.986,6.775
-0.481,-0.727,0.500,-5.432,-7.690,5.127
-0.480,-0.720,0.492,-5.554,-4.639,3.845
-0.475,-0.716,0.497,-5.798,-2.625,2.869
-0.474,-0.721,0.513,-5.432,-1.343,2.014
-0.473,-0.724,0.524,-5.249,-0.549,0.916
-0.467,-0.709,0.525,-6.104,-0.427,-0.061
-0.471,-0.682,0.537,-7.080,-0.366,-0.671
-0.475,-0.676,0.553,-7.385,-0.244,-0.854
-0.469,-0.682,0.561,-7.812,-0.183,-0.488
-0.466,-0.685,0.556,-7.751,-0.732,0.183
-1.222,-0.870,0.441,36.316,-21.667,17.029
-1.230,-0.891,0.406,44.067,-25.269,17.822
-1.228,-0.876,0.358,50.171,-28.503,17.273
-1.223,-0.826,0.298,54.626,-32.349,15.625
-1.214,-0.765,0.233,57.190,-37.781,12.756
-1.215,-0.699,0.154,57.983,-43.884,10.559
-1.212,-0.629,0.034,55.969,-48.767,10.559
-1.227,-0.576,-0.023,51.331,-49.011,13.245
-1.254,-0.563,-0.020,45.776,-41.931,16.785
-1.253,-0.615,-0.004,40.771,-31.982,20.142
-1.226,-0.698,-0.012,37.415,-25.085,23.437
-1.196,-0.773,-0.037,37.781,-22.522,24.963
-1.152,-0.822,-0.074,42.175,-22.644,24.292
-1.088,-0.805,-0.098,49.316,-22.400,20.996
-1.034,-0.776,-0.108,58.105,-20.142,15.930
-0.962,-0.727,-0.129,63.782,-16.724,10.559
-0.917,-0.636,-0.194,63.232,-13.306,7.263
-0.890,-0.523,-0.284,58.350,-9.827,6.531
-0.869,-0.412,-0.367,52.673,-5.005,8.667
-0.830,-0.337,-0.420,47.668,2.930,13.489
-0.765,-0.315,-0.431,41.199,15.442,20.081
-0.658,-0.309,-0.426,32.471,29.785,27.161
-0.543,-0.316,-0.324,23.621,43.701,33.264
-0.431,-0.339,-0.114,13.794,58.228,38.940
-0.256,-0.354,0.050,-0.732,71.106,43.457
-0.037,-0.300,0.083,-16.052,78.796,48.035
0.185,-0.142,0.057,-23.437,84.778,55.725
0.432,-0.073,0.077,-17.151,95.581,66.895
0.740,-0.107,0.075,1.892,112.732,81.970
1.091,-0.150,0.031,28.687,130.676,102.234
1.344,-0.240,0.072,58.289,150.757,125.854
1.540,-0.410,0.276,84.534,175.842,150.269
1.752,-0.617,0.576,97.473,201.965,171.265
1.961,-0.909,0.921,90.332,222.534,184.814
2.091,-1.232,1.318,68.604,236.267,188.171
2.047,-1.554,1.805,44.250,243.530,180.115
1.773,-1.963,2.283,23.804,242.981,159.241
